"Restrict Zip Codes","PLZ einschränken"
"General configuration","Allgemeine Einstellungen"
"Prevent Checkout","Checkout verhindern"
"If set to 'Yes', the user will forbidden to checkout if entered a restricted postcode.","Wenn auf 'Ja' gestellt, wird dem Benutzer das Bezahlen verboten, wenn er eine eingeschränkte PLZ eingegeben hat."
"Show Notification","Hinweis anzeigen"
"Notification Message","Hinweis Nachricht"
"This message will be shown on postcode validation, if entered a restricted postcode.","Diese Nachricht wird bei der Überprüfung der PLZ angezeigt, wenn eine eingeschränkte PLZ eingegeben wurde."
"Restrict Payment Methods","Zahlungsmethoden einschränken"
"Allowed Payment Methods","Erlaubte Zahlungsmethoden"
"Select allowed payment methods, if entered a restricted postcode.","Wählen Sie zulässige Zahlungsmethoden aus, wenn der Nutzer eine eingeschränkte Postleitzahl eingegeben hat."
"Restrict Zip Codes Section","PLZ einschränken Sektion"
"%1 (Method code: %2)","%1 (Code: %2)"
